dataset_id,factor_ids,asset,interface,wind_code,fields,table_name,options,frequency,calendar,enabled,code_status,search_hint,notes
fx_iv_usdjpy_1m,FX-VOL-SKEW|FX-RISK,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美元兑日元1个月ATM和25Delta风险逆转,统一JPY call口径
fx_iv_audusd_1m,FX-VOL-SKEW|FX-RISK,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,澳元兑美元1个月ATM和25Delta风险逆转,需ATM RR BF三个序列
fx_iv_eurusd_1m,FX-VOL-SKEW|FX-RISK,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,欧元兑美元1个月ATM和25Delta风险逆转,需ATM RR BF三个序列
global_dxy,FX-DOLLAR|FX-RISK,GLOBAL,WSD,DXY.GI,close,,Days=Trading;Fill=Blank;Period=D,D,NYSE,1,candidate_verify,美元指数DXY收盘,候选代码需终端验证
global_vix,FX-RISK|FX-VOL-SKEW,GLOBAL,WSD,VIX.GI,close,,Days=Trading;Fill=Blank;Period=D,D,NYSE,1,candidate_verify,VIX指数收盘,候选代码需终端验证
global_move,IR-RISKPREM|FX-RISK,GLOBAL,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,MOVE美债波动率指数,权限可能单独要求
global_hy_oas,FX-RISK|IR-RISKPREM,GLOBAL,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国高收益债期权调整利差OAS,信用风险代理
global_usd_funding,FX-RISK|IR-LIQ,GLOBAL,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美元交叉货币基差三个月,固定币种篮子
commodity_copper,FX-COMMODITY|IR-INFL,COMMODITY,WSD,CU00.SHF,close,,Days=Trading;Fill=Blank;Period=D,D,SHFE,1,candidate_verify,沪铜主力连续收盘,候选连续合约需确认复权
commodity_ironore,FX-COMMODITY,COMMODITY,WSD,I00.DCE,close,,Days=Trading;Fill=Blank;Period=D,D,DCE,1,candidate_verify,铁矿石主力连续收盘,候选连续合约需确认复权
commodity_brent,FX-COMMODITY|IR-INFL,COMMODITY,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,布伦特原油现货或近月连续,确认换月规则
rba_commodity_index,FX-COMMODITY|FX-VALUE,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,RBA大宗商品价格指数特别提款权,月度官方指数
csi300,FX-COMMODITY|FX-RISK,GLOBAL,WSD,000300.SH,close,,Days=Trading;Fill=Blank;Period=D,D,SSE,1,candidate_verify,沪深300指数收盘,标准公开Wind代码仍建议账号内probe
us_ois_3m,FX-RATE|IR-PATH|IR-LEVEL,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国SOFR OIS 3个月中间价,固定纽约收盘
us_ois_6m,FX-RATE|IR-PATH|IR-LEVEL,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国SOFR OIS 6个月中间价,固定纽约收盘
us_ois_1y,FX-RATE|IR-PATH|IR-LEVEL,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国SOFR OIS 1年中间价,确认抵押口径
us_ois_2y,FX-RATE|IR-PATH|IR-LEVEL|IR-PCA-RV,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国SOFR OIS 2年中间价,确认抵押口径
us_ois_5y,IR-LEVEL|IR-PCA-RV|IR-MOM,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国SOFR OIS 5年中间价,确认抵押口径
us_ois_10y,IR-LEVEL|IR-PCA-RV|IR-MOM,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国SOFR OIS 10年中间价,确认抵押口径
us_ois_30y,IR-PCA-RV|IR-MOM,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国SOFR OIS 30年中间价,确认抵押口径
us_sofr,IR-LIQ|IR-PATH,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,SOFR纽约联储担保隔夜融资利率,官方参考利率
us_iorb,IR-LIQ|IR-LEVEL,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美联储准备金余额利率IORB,政策走廊
us_effr,IR-LIQ|IR-LEVEL,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国有效联邦基金利率EFFR,资金状态
us_term_premium,IR-RISKPREM,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,纽约联储ACM十年期限溢价,慢因子
us_breakeven_5y,IR-INFL|IR-LEVEL,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国五年盈亏平衡通胀率,市场通胀
us_breakeven_10y,IR-INFL|IR-LEVEL,US_IRS,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,美国十年盈亏平衡通胀率,市场通胀
cn_irs_fr007_1y,IR-PATH|IR-CARRY|IR-LEVEL|IR-PCA-RV,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,FR007利率互换收盘曲线1年,不要与FDR007混用
cn_irs_fr007_2y,IR-LEVEL|IR-PCA-RV|IR-MOM,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,FR007利率互换收盘曲线2年,确认CFETS定盘曲线
cn_irs_fr007_5y,IR-LEVEL|IR-PCA-RV|IR-MOM,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,FR007利率互换收盘曲线5年,确认CFETS定盘曲线
cn_irs_fr007_10y,IR-PCA-RV|IR-MOM,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,FR007利率互换收盘曲线10年,流动性不足时可禁用
cn_dr001,IR-LIQ,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,银行间存款类机构质押式回购DR001,日度资金
cn_dr007,IR-LIQ|IR-PATH,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,银行间存款类机构质押式回购DR007,日度资金
cn_r001,IR-LIQ,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,银行间全市场质押式回购R001,分层
cn_r007,IR-LIQ,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,银行间全市场质押式回购R007,分层
cn_omo_7d_rate,IR-PATH|IR-LIQ|IR-LEVEL,CN_IRS,EDB,,,,Fill=Blank,EVENT,SSE,0,needs_generator,人民银行7天逆回购操作利率,主要政策率
cn_omo_7d_amount,IR-LIQ,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,人民银行7天逆回购投放和到期量,不得单独定方向
cn_ncd_1y,IR-LIQ|IR-PATH,CN_IRS,EDB,,,,Fill=Blank,D,SSE,0,needs_generator,股份行AAA一年同业存单到期收益率,确认估值来源
eur_ois_1y,FX-RATE|IR-XMARKET,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,欧元区ESTR OIS 1年中间价,固定伦敦或纽约收盘
eur_ois_2y,FX-RATE|IR-XMARKET,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,欧元区ESTR OIS 2年中间价,固定伦敦或纽约收盘
jpy_ois_1y,FX-RATE|IR-XMARKET,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,日本TONA OIS 1年中间价,固定东京或纽约收盘
jpy_ois_2y,FX-RATE|IR-XMARKET,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,日本TONA OIS 2年中间价,固定东京或纽约收盘
aud_ois_1y,FX-RATE|IR-XMARKET,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,澳大利亚AONIA OIS 1年中间价,固定悉尼或纽约收盘
aud_ois_2y,FX-RATE|IR-XMARKET,FX,EDB,,,,Fill=Blank,D,NYSE,0,needs_generator,澳大利亚AONIA OIS 2年中间价,固定悉尼或纽约收盘
us_cpi_headline,FX-INFL-MOM|IR-INFL,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国CPI季调环比和同比首次值,不要只抓当前修订值
us_cpi_core,FX-INFL-MOM|IR-INFL,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国核心CPI季调环比首次值,用于3个月年化
us_core_pce,FX-INFL-MOM|IR-INFL,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国核心PCE价格指数季调环比,政策核心通胀
us_ppi,FX-INFL-MOM|IR-INFL,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国PPI最终需求季调环比,成本通胀
us_ism_mfg,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国ISM制造业PMI和新订单,扩散指数
us_ism_services,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国ISM服务业PMI,扩散指数
us_nonfarm_payroll,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国非农就业新增首次值,保存前值修订
us_unemployment,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国失业率季调,增长方向取负号
us_initial_claims,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,W,NYSE,0,needs_generator,美国首次申请失业金人数,四周均值
us_industrial_production,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国工业产出指数季调,用于3个月趋势
us_retail_sales,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国零售销售控制组季调,使用实际值更佳
us_gdp_real,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,美国实际GDP季调环比年化首次值,低频锚
us_ahe,FX-INFL-MOM|IR-INFL,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,美国平均时薪季调环比,工资压力
us_current_account,FX-EXTERNAL,MACRO_US,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,美国经常账户占GDP,慢因子
cn_cpi_headline,FX-INFL-MOM|IR-INFL,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国CPI同比和环比,通胀低权重
cn_cpi_core,FX-INFL-MOM|IR-INFL,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国核心CPI同比,服务通胀
cn_ppi,FX-INFL-MOM|IR-INFL,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国PPI同比和环比,中国利率重要
cn_pmi_mfg,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国官方制造业PMI和新订单,扩散指数
cn_pmi_services,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国非制造业PMI商务活动,扩散指数
cn_industrial_production,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国规模以上工业增加值同比,注意一二月合并
cn_retail_sales,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国社会消费品零售总额同比,注意价格因素
cn_gdp_real,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,Q,SSE,0,needs_generator,中国实际GDP同比和季调环比,季度锚
cn_tsf_flow,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国社会融资规模增量,构造信贷脉冲
cn_m1,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国M1同比,注意统计口径变化
cn_m2,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国M2同比,信贷辅助
cn_property_sales,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国商品房销售面积和金额累计同比,需转单月
cn_trade_balance,FX-EXTERNAL|FX-COMMODITY,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,中国贸易差额美元计价,三个月均值
cn_current_account,FX-EXTERNAL,MACRO_CN,EDB,,,,Fill=Blank,Q,SSE,0,needs_generator,中国经常账户占GDP,慢因子
ea_hicp_headline,FX-INFL-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,欧元区HICP总体环比同比首次值,保存flash和final区别
ea_hicp_core,FX-INFL-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,欧元区核心HICP同比首次值,政策反应
ea_pmi_composite,FX-ECON-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,欧元区综合PMI初值,保存flash和final区别
ea_industrial_production,FX-ECON-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,欧元区工业生产季调,增长趋势
ea_retail_sales,FX-ECON-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,欧元区零售销售季调,增长趋势
ea_unemployment,FX-ECON-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,欧元区失业率季调,方向取负号
ea_gdp_real,FX-ECON-MOM,MACRO_EA,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,欧元区实际GDP季调环比初值,季度锚
ea_negotiated_wages,FX-INFL-MOM,MACRO_EA,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,欧元区协商工资同比,服务通胀
ea_current_account,FX-EXTERNAL,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,欧元区经常账户季调,外部平衡
jp_cpi_headline,FX-INFL-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本全国CPI同比,政策反应
jp_cpi_corecore,FX-INFL-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本CPI剔除生鲜和能源同比,核心趋势
jp_tokyo_cpi,FX-INFL-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本东京CPI同比,全国CPI领先代理
jp_cash_earnings,FX-INFL-MOM|FX-ECON-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本每月现金工资收入同比,注意实际工资
jp_tankan,FX-ECON-MOM,MACRO_JP,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,日本Tankan大型制造业景气判断,季度扩散
jp_industrial_production,FX-ECON-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本工业生产季调,增长趋势
jp_retail_sales,FX-ECON-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本零售销售同比,增长趋势
jp_unemployment,FX-ECON-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本失业率季调,方向取负号
jp_gdp_real,FX-ECON-MOM,MACRO_JP,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,日本实际GDP季调环比年化初值,季度锚
jp_trade_balance,FX-EXTERNAL,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,日本贸易差额季调,油价影响
jp_intervention,FX-VOL-SKEW|FX-RISK,MACRO_JP,EDB,,,,Fill=Blank,EVENT,NYSE,0,needs_generator,日本财务省外汇干预金额和日期,政策硬门控
au_cpi_headline,FX-INFL-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,澳大利亚月度CPI同比,确认历史口径
au_cpi_trimmed,FX-INFL-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,澳大利亚截尾均值CPI,确认月度季度口径
au_wpi,FX-INFL-MOM,MACRO_AU,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,澳大利亚工资价格指数环比同比,工资压力
au_employment,FX-ECON-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,澳大利亚就业人数变化季调,增长动量
au_unemployment,FX-ECON-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,澳大利亚失业率季调,方向取负号
au_pmi_composite,FX-ECON-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,澳大利亚综合PMI,扩散指数
au_retail_sales,FX-ECON-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,澳大利亚零售销售季调,增长趋势
au_gdp_real,FX-ECON-MOM,MACRO_AU,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,澳大利亚实际GDP季调环比,季度锚
au_trade_balance,FX-EXTERNAL|FX-COMMODITY,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,澳大利亚贸易差额季调,商品传导
au_terms_of_trade,FX-COMMODITY|FX-VALUE,MACRO_AU,EDB,,,,Fill=Blank,Q,NYSE,0,needs_generator,澳大利亚贸易条件指数,慢变量
position_cftc_eur,FX-POS,POSITION,EDB,,,,Fill=Blank,W,NYSE,0,needs_generator,CFTC欧元非商业或leveraged funds多空持仓,保存周二观察和周五发布
position_cftc_jpy,FX-POS,POSITION,EDB,,,,Fill=Blank,W,NYSE,0,needs_generator,CFTC日元非商业或leveraged funds多空持仓,保存周二观察和周五发布
position_cftc_aud,FX-POS,POSITION,EDB,,,,Fill=Blank,W,NYSE,0,needs_generator,CFTC澳元非商业或leveraged funds多空持仓,保存周二观察和周五发布
us_treasury_issuance,IR-SUPPLY,US_IRS,EDB,,,,Fill=Blank,EVENT,NYSE,0,needs_generator,美国国债发行额到期额期限和拍卖结果,需转换DV01
cn_govbond_issuance,IR-SUPPLY,CN_IRS,EDB,,,,Fill=Blank,EVENT,SSE,0,needs_generator,中国国债地方债政策性金融债发行到期,需转换DV01
macro_release_calendar,FX-ECON-MOM|FX-INFL-MOM|IR-GROWTH|IR-INFL,MACRO,WSET,,,economiccalendar,,EVENT,SSE,0,needs_generator,Wind全球经济数据发布日历含实际预期前值和发布时间,表名和options必须由代码生成器确认
consensus_us_cpi,FX-INFL-MOM|IR-INFL,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期美国CPI同比和环比,发布前冻结快照
consensus_us_core_cpi,FX-INFL-MOM|IR-INFL,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期美国核心CPI环比,发布前冻结快照
consensus_us_nonfarm,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期美国非农就业新增,发布前冻结快照
consensus_us_unemployment,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期美国失业率,发布前冻结快照
consensus_us_retail,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期美国零售销售环比,发布前冻结快照
consensus_us_ism,FX-ECON-MOM|IR-GROWTH,MACRO_US,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期美国ISM制造业PMI,发布前冻结快照
consensus_cn_cpi,FX-INFL-MOM|IR-INFL,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,Wind一致预期中国CPI同比,发布前冻结快照
consensus_cn_ppi,FX-INFL-MOM|IR-INFL,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,Wind一致预期中国PPI同比,发布前冻结快照
consensus_cn_pmi,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,Wind一致预期中国官方制造业PMI,发布前冻结快照
consensus_cn_industrial,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,Wind一致预期中国工业增加值同比,发布前冻结快照
consensus_cn_retail,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,Wind一致预期中国社会消费品零售总额同比,发布前冻结快照
consensus_cn_tsf,FX-ECON-MOM|IR-GROWTH,MACRO_CN,EDB,,,,Fill=Blank,M,SSE,0,needs_generator,Wind一致预期中国社会融资规模增量,发布前冻结快照
consensus_ea_hicp,FX-INFL-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期欧元区HICP初值,发布前冻结快照
consensus_ea_pmi,FX-ECON-MOM,MACRO_EA,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期欧元区综合PMI初值,发布前冻结快照
consensus_jp_cpi,FX-INFL-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期日本全国CPI,发布前冻结快照
consensus_jp_wages,FX-INFL-MOM|FX-ECON-MOM,MACRO_JP,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期日本现金工资收入,发布前冻结快照
consensus_au_cpi,FX-INFL-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期澳大利亚CPI,发布前冻结快照
consensus_au_employment,FX-ECON-MOM,MACRO_AU,EDB,,,,Fill=Blank,M,NYSE,0,needs_generator,Wind一致预期澳大利亚就业人数变化,发布前冻结快照
